#{"t_start": 1718913807.7037635, "env_id": "onestep-v0"}
r,l,t
-2.8491,61,6.74316
-3.0974,61,7.099488
-4.3701,61,7.525276
-3.2385,29,7.753273
-4.2772,61,10.293921
-1.1657,3,10.309883
-4.7699,61,10.633734
-2.8485,13,10.738239
-4.663,54,11.14194
-5.9698,61,11.604198
-5.5457,61,13.425217
-5.9811,53,13.744811
-4.46,61,14.319873
-3.1797,28,14.539853
-5.0115,61,14.893337
-2.4244,22,15.052
-4.7801,61,16.950561
-4.9529,61,17.381104
-3.6661,61,17.722867
-5.1971,61,18.085989
-3.0002,43,19.849004
-4.353,61,20.227428
